,Place,Player,Team,Games,Sum,Season
113,115,Marques Townes,Pieno žvaigždės,7,80,2021-2022
114,116,Maurice Ndour,Rytas,7,80,2021-2022
115,117,Emmanuel Mudiay,Žalgiris,6,76,2021-2022
116,118,Evaldas Kairys,Rytas,18,72,2021-2022
117,119,Dominykas Stenionis,Nevėžis–Optibet,15,66,2021-2022
118,120,Daniel Baslyk,Šiauliai-7Bet,37,66,2021-2022
119,121,Mindaugas Kupšas,Uniclub Casino - Juventus,5,62,2021-2022
120,122,Tomas Zdanavičius,CBet,18,60,2021-2022
121,123,Adreian Payne,Uniclub Casino - Juventus,7,60,2021-2022
122,124,Abramo Canka,Nevėžis–Optibet,8,59,2021-2022
123,125,Rokas Gadiliauskas,Labas Gas,10,58,2021-2022
124,126,Toms Elvis Leimanis,Neptūnas,15,56,2021-2022
125,127,Matas Jucikas,Nevėžis–Optibet,14,50,2021-2022
126,128,Martynas Pacevičius,Rytas,10,50,2021-2022
127,129,Tadas Vaičiūnas,Lietkabelis,27,49,2021-2022
128,130,Vasilije Pušica,Labas Gas,6,49,2021-2022
129,131,Isaac Lee Bonton,Neptūnas,11,43,2021-2022
130,132,Ernestas Sederevičius,Uniclub Casino - Juventus,24,42,2021-2022
131,133,Isiah Umipig,Labas Gas,5,39,2021-2022
132,134,Adomas Sidarevičius,Neptūnas,19,39,2021-2022
133,135,Arnas Adomavičius,Rytas,22,36,2021-2022
134,136,Matas Vaitkus,Neptūnas,14,36,2021-2022
135,137,Volodymyr Koniev,Pieno žvaigždės,8,35,2021-2022
136,138,Martynas Pocevičius,Dzūkija,25,29,2021-2022
137,139,Giedrius Bergaudas,Labas Gas,6,27,2021-2022
138,140,Mintautas Mockus,Labas Gas,10,26,2021-2022
139,141,Joshua Selby,Pieno žvaigždės,3,26,2021-2022
140,142,Ernestas Jonkus,Šiauliai-7Bet,11,23,2021-2022
141,143,Tomas Pačėsas,Dzūkija,17,22,2021-2022
142,144,Armandas Plintauskas,Nevėžis–Optibet,17,21,2021-2022
143,145,Jackson Dubinski,CBet,6,21,2021-2022
144,146,Oskaras Pleikys,Neptūnas,6,19,2021-2022
145,147,Ugnius Jaruševičius,Nevėžis–Optibet,6,17,2021-2022
146,148,Marko Tejič,Rytas,4,14,2021-2022
147,149,Titas Sargiūnas,Žalgiris,7,10,2021-2022
148,150,Edas Valenta,Labas Gas,7,8,2021-2022
149,151,Mantas Litvinas,Šiauliai-7Bet,8,6,2021-2022
150,152,Stefan Peno,Labas Gas,1,6,2021-2022
151,153,Avtandil Bakhtadze,Nevėžis–Optibet,8,4,2021-2022
152,154,Martynas Žvirblis,Uniclub Casino - Juventus,8,3,2021-2022
153,155,Giedrius Kazilionis,Pieno žvaigždės,3,3,2021-2022
154,156,Dominykas Jurgelionis,Labas Gas,6,3,2021-2022
155,157,Mantas Rubštavičius,Žalgiris,1,2,2021-2022
156,158,Adas Šimonis,Rytas,7,2,2021-2022
157,159,Tadas Cibulskas,Dzūkija,6,2,2021-2022
158,160,Dmytro Tykhonov,Nevėžis–Optibet,1,2,2021-2022
159,161,Dovydas Romančenko,Neptūnas,5,0,2021-2022
160,162,Vilius Valuntonis,Pieno žvaigždės,2,0,2021-2022
161,163,Jonas Paukštė,Šiauliai-7Bet,6,0,2021-2022
162,164,Rokas Jocius,Rytas,1,0,2021-2022
163,165,Nedas Rauluševičius,CBet,7,0,2021-2022
164,166,Kajus Leliukas,Šiauliai-7Bet,5,0,2021-2022
165,167,Astijus Ivanovas,CBet,1,0,2021-2022
166,168,Matas Masiliūnas,CBet,2,0,2021-2022
0,1,Mindaugas Kupšas,Juventus,46,654,2020-2021
1,2,Paulius Valinskas,Lietkabelis,43,589,2020-2021
2,3,Gytis Masiulis,Lietkabelis,46,581,2020-2021
3,4,Kyle Vinales,Lietkabelis,36,578,2020-2021
4,5,Elvar Fridriksson,Šiauliai,36,549,2020-2021
5,6,Žygimantas Skučas,Juventus,45,547,2020-2021
6,7,Mindaugas Sušinskas,Prienų CBet,36,532,2020-2021
7,8,Andrew Goudelock,Rytas,36,527,2020-2021
8,9,Marius Grigonis,Žalgiris,39,502,2020-2021
9,10,Vaidas Kariniauskas,Juventus,28,465,2020-2021
10,11,Panagiotis Kalaitzakis,Lietkabelis,44,465,2020-2021
11,12,Margiris Normantas,Lietkabelis,37,454,2020-2021
12,13,Sedrick Barefield,Nevėžis–Optibet,28,434,2020-2021
13,14,Paulius Petrilevičius,Pieno žvaigždės,37,424,2020-2021
14,15,Martynas Echodas,Rytas,36,421,2020-2021
15,16,Andy Van Vliet,Šiauliai,38,421,2020-2021
16,17,Bryant Crawford,Juventus,37,418,2020-2021
17,18,Lukas Lekavičius,Žalgiris,41,414,2020-2021
18,19,Ignas Vaitkus,Juventus,34,414,2020-2021
19,20,Mindaugas Girdžiūnas,Rytas,43,410,2020-2021
20,21,Tomas Lekūnas,Pieno žvaigždės,34,406,2020-2021
21,22,Branko Mirkovich,Pieno žvaigždės,37,406,2020-2021
22,23,Vytautas Šulskis,Juventus,46,392,2020-2021
23,24,Simas Jasaitis,Dzūkija,34,390,2020-2021
24,25,Arminas Urbutis,Šiauliai,32,387,2020-2021
25,26,Joffrey Lauvergne,Žalgiris,35,386,2020-2021
26,27,Dorde Gagič,Lietkabelis,36,375,2020-2021
27,28,Nigel Hayes,Žalgiris,38,375,2020-2021
28,29,Arnas Butkevičius,Rytas,37,370,2020-2021
29,30,Dominykas Domarkas,Prienų CBet,38,366,2020-2021
30,31,Artūras Jomantas,Dzūkija,35,366,2020-2021
31,32,Matas Jogėla,Neptūnas,37,356,2020-2021
32,33,Thomas Walkup,Žalgiris,38,356,2020-2021
33,34,Matas Jucikas,Dzūkija,36,355,2020-2021
34,35,Vytenis Lipkevičius,Lietkabelis,43,353,2020-2021
35,36,Martynas Varnas,Šiauliai,36,343,2020-2021
36,37,Rokas Jokubaitis,Žalgiris,43,342,2020-2021
37,38,Martynas Gecevičius,Juventus,30,338,2020-2021
38,39,Giedrius Staniulis,Dzūkija,25,337,2020-2021
39,40,Martynas Mažeika,Neptūnas,32,335,2020-2021
40,41,Gytis Radzevičius,Rytas,43,335,2020-2021
41,42,Edgaras Želionis,Pieno žvaigždės,29,330,2020-2021
42,43,Marquis Jurell Wright,Prienų CBet,19,329,2020-2021
43,44,Julius Kazakauskas,Nevėžis–Optibet,32,316,2020-2021
44,45,Dovis Bičkauskis,Rytas,44,312,2020-2021
45,46,Martinas Geben,Žalgiris,43,312,2020-2021
46,47,Ivan Buva,Rytas,22,311,2020-2021
47,48,Vaidas Čepukaitis,Juventus,47,310,2020-2021
48,49,Paolo Marinelli,Dzūkija,36,303,2020-2021
49,50,Jahenns-Ley Manigat,Pieno žvaigždės,38,303,2020-2021
50,51,Kristupas Žemaitis,Dzūkija,26,301,2020-2021
51,52,Einaras Tubutis,Prienų CBet,35,291,2020-2021
52,53,Benas Griciūnas,Neptūnas,36,291,2020-2021
53,54,Žygimantas Janavičius,Neptūnas,31,289,2020-2021
54,55,Eimantas Stankevičius,Šiauliai,37,288,2020-2021
55,56,Augustine Rubit,Žalgiris,38,282,2020-2021
56,57,Mindaugas Lukauskis,Šiauliai,31,275,2020-2021
57,58,Gabrielius Maldūnas,Lietkabelis,46,272,2020-2021
58,59,Karolis Giedraitis,Pieno žvaigždės,33,272,2020-2021
59,60,Kaspars Berzins,Šiauliai,23,268,2020-2021
60,61,Paulius Danisevičius,Dzūkija,35,266,2020-2021
61,62,Tom Digbeu,Prienų CBet,33,263,2020-2021
62,63,Džiugas Slavinskas,Neptūnas,36,262,2020-2021
63,64,Gintautas Matulis,Juventus,45,255,2020-2021
64,65,Domantas Vilys,Nevėžis–Optibet,32,254,2020-2021
65,66,Norbertas Giga,Neptūnas,37,246,2020-2021
66,67,Lukas Uleckas,Rytas,38,246,2020-2021
67,68,Simas Galdikas,Neptūnas,38,245,2020-2021
68,69,Paulius Jankūnas,Žalgiris,43,241,2020-2021
