,Vieta,Zaidejas,Komanda,Rungtynes,Suma
171,176,Matas Repšys,Neptūnas,5,1
172,177,Shaquille Keith,Labas Gas,2,1
173,178,Nemanja Bezbradica,Šiauliai,8,1
174,181,Juozas Virkutis,Gargždai,6,1
175,182,Shaquille Keith,Labas Gas,2,1
176,183,Vaidas Čepukaitis,Wolves,1,0
177,184,Herkus Kumpys,Wolves,4,0
178,185,Robertas Indrišiūnas,Pieno žvaigždės,1,0
179,186,Gediminas Leščiauskas,Neptūnas,7,0
180,187,Kaspars Berzins,Uniclub Casino - Juventus,1,0
181,188,Nedas Rauluševičius,CBet,1,0
182,189,Kajus Leliukas,Šiauliai,3,0
183,190,Mantas Gezevičius,CBet,8,0
184,191,Edas Valenta,Labas Gas,3,0
185,192,Mantas Litvinas,Šiauliai,3,0
186,193,Liutauras Lelevičius,Žalgiris,10,0
187,194,Robertas Syčius,CBet,9,0
188,195,Deividas Žukauskas,Šiauliai,4,0
189,196,Gustas Grabauskas,Šiauliai,2,0
190,201,Mantas Gūžys,Labas Gas,6,0
191,202,Kristupas Umantas,Gargždai,2,0
192,203,Paulius Kulikauskas,Gargždai,3,0
